Visalia, CA 	USA 	VIS
Visby	Sweden	VBY
Vitoria	Spain	VIT
Vladivostok, Siberia	Russia	VVO
Volgograd	Russia	VOG
Wabush, Labrador, NF	Canada	YWK
Wabush, Labrador, NF 	Canada 	YWK
Waco, TX 	USA 	ACT
Wagga-Wagga, N.S.W.	Australia	WGA
Wajima	Japan	NTQ
Walla Walla, WA 	USA 	ALW
Wanganui	New Zealand	WAG
Warri	Nigeria	QRW
Warsaw	Poland	WAW
Washington DC 	USA 	DCA
Washington DC 	USA 	IAD
Washington DC 	USA 	WAS
Waterloo, IA 	USA 	ALO
Watertown, NY 	USA 	ART
Watertown, SD 	USA 	ATY
Wausau, WI 	USA 	CWA
Weipa, Qld.	Australia	WEI
Wellington	New Zealand	WLG
Wenatchee, WA 	USA 	EAT
West Palm Beach, FL 	USA 	PBI
West Yellowstone, MT	USA 	WYS
Westport	New Zealand	WSZ
Whakatane	New Zealand	WHK
Whangarei	New Zealand	WRE
White Plains, NY 	USA 	HPN
Whitehorse, YT	Canada	YXY
Whitehorse, YT 	Canada 	YXY
Whyalla, S.A.	Australia	WYA
Wichita Falls, TX 	USA 	SPS
Wichita, KS 	USA 	ICT
Wick	Scotland	WIC
Wilkes-Barre, PA 	USA 	AVP
Willemstad	Curacao	CUR
Williams Lake, BC	Canada	YWL
Williams Lake, BC	Canada 	YWL
Williamsport, PA 	USA 	IPT
Williston, ND 	USA 	ISN
Wilmington, DE 	USA 	ILG
Wilmington, NC 	USA 	ILM
Windsor, ON	Canada	YQG
Windsor, ON 	Canada 	YQG
Winnipeg, MB	Canada	YWG
Winnipeg, MB 	Canada 	YWG
Wolf Point, MT	USA 	OLF
Worland, WY 	USA 	WRL
